esp,5,12,4,N,No tiene,"Aconsejen a XXX para que exprese, opine, diga o comunique sólo lo necesario, que no todo se debe callar y no todo se debe decir, pues todas la conocen demasiado, saben que va a decir o cómo va a proceder; aconsejen a XXX que es mejor guardar cierta reserva, que sea impredecible para que nadie sepa qué va a decir ni cómo va a proceder.","Aconsejen a XXX para que exprese, opine, diga o comunique sólo lo necesario, que no todo se debe callar y no todo se debe decir, pues todos lo conocen demasiado, saben que va a decir o cómo va a proceder; aconsejen a XXX que es mejor guardar cierta reserva, que sea impredecible para que nadie sepa qué va a decir ni cómo va a proceder."
esp,5,13,1,Bl,Blanco,Bien.,Bien.
esp,5,13,2,Ne,Negro,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad no ha tenido este tipo de pensamientos.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad no ha tenido este tipo de pensamientos."
esp,5,13,3,Gr,Gris,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos confusos o indefinidos.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos confusos o indefinidos."
esp,5,13,4,Be,Beige,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos confusos o indefinidos.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos confusos o indefinidos."
esp,5,13,5,Ro,Rojo,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos amorosos egoístas o posesivos, debiendo ser honestos y sinceros.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos amorosos egoístas o posesivos, debiendo ser honestos y sinceros."
esp,5,13,6,Na,Naranja,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos calculadores, de escusas o razonamientos que no le permiten realizarlos, convertirlos en hechos. ","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos calculadores, de escusas o razonamientos que no le permiten realizarlos, convertirlos en hechos. "
esp,5,13,7,Am,Amarillo,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos temerosos, inseguros.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos temerosos, inseguros."
esp,5,13,8,Ve,Verde  ,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos de esperanza.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos de esperanza."
esp,5,13,9,Az,Azul,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos tristes o deprimidos.","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos tristes o deprimidos."
esp,5,13,10,Mo,Morado,"Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos de prohibiciones o moralismo. ","Motiven en XXX pensamientos honestos y sinceros, pues su personalidad ha sido de pensamientos de prohibiciones o moralismo. "
